
Token                          Classification      
--------------------------------------------------
"Caught"                       -> Word - Capitalized  
"you"                          -> Word - Lowercase    
"in"                           -> Word - Lowercase    
"8K"                           -> Alphanumerics       
"UHD"                          -> Alphanumerics       
"surround"                     -> Word - Lowercase    
"sound"                        -> Word - Lowercase    
"16"                           -> Number              
"Gigs"                         -> Word - Capitalized  
"ram"                          -> Word - Lowercase    
","                            -> Punctuation         
"HDR"                          -> Alphanumerics       
"GEFORCE"                      -> Alphanumerics       
"RTX"                          -> Alphanumerics       
","                            -> Punctuation         
"TI"                           -> Alphanumerics       
"-"                            -> Math Symbol         
"80"                           -> Number              
"texas"                        -> Word - Lowercase    
"insturments"                  -> Word - Lowercase    
","                            -> Punctuation         
"Triple"                       -> Word - Capitalized  
"A"                            -> Letter - Capital    
"duracell"                     -> Word - Lowercase    
"battery"                      -> Word - Lowercase    
"ultrapower100"                -> Alphanumerics       
"Cargador"                     -> Word - Capitalized  
"Compatible"                   -> Word - Capitalized  
"iPhone"                       -> Alphanumerics       
"1A"                           -> Alphanumerics       
"5"                            -> Number              
"W"                            -> Letter - Capital    
"1400"                         -> Number              
"+"                            -> Math Symbol         
"Cable"                        -> Word - Capitalized  
"100"                          -> Number              
"%"                            -> Punctuation         
"1"                            -> Number              
"Metro"                        -> Word - Capitalized  
"Blanco"                       -> Word - Capitalized  
"Compatible"                   -> Word - Capitalized  
"iPhone"                       -> Alphanumerics       
"5"                            -> Number              
"5"                            -> Number              
"C"                            -> Letter - Capital    
"5S"                           -> Alphanumerics       
"6"                            -> Number              
"SE"                           -> Alphanumerics       
"6S"                           -> Alphanumerics       
"7"                            -> Number              
"8"                            -> Number              
"X"                            -> Letter - Capital    
"XR"                           -> Alphanumerics       
"XS"                           -> Alphanumerics       
"XS"                           -> Alphanumerics       
"MAX"                          -> Alphanumerics       
"GoPro"                        -> Alphanumerics       
"hero"                         -> Word - Lowercase    
"1"                            -> Number              
"2"                            -> Number              
"terrabyte"                    -> Word - Lowercase    
"xbox"                         -> Word - Lowercase    
"series"                       -> Word - Lowercase    
"x"                            -> Letter - Lowercase  
"Dell"                         -> Word - Capitalized  
"UltraSharp"                   -> Alphanumerics       
"49"                           -> Number              
"Curved"                       -> Word - Capitalized  
"Monitor"                      -> Word - Capitalized  
"-"                            -> Math Symbol         
"U4919DW"                      -> Alphanumerics       
"Sony"                         -> Word - Capitalized  
"HDC"                          -> Alphanumerics       
"-"                            -> Math Symbol         
"3300R"                        -> Alphanumerics       
"2"                            -> Number              
"/"                            -> Math Symbol         
"3"                            -> Number              
"""                            -> Punctuation         
"CCD"                          -> Alphanumerics       
"HD"                           -> Alphanumerics       
"Super"                        -> Word - Capitalized  
"Motion"                       -> Word - Capitalized  
"Color"                        -> Word - Capitalized  
